,residuals
5059,-1.0581283569335938
5080,-1.0581283569335938
5085,-1.0581283569335938
5092,-1.0581283569335938
5104,-1.0581283569335938
5110,-1.0581283569335938
5131,-1.0581283569335938
5136,-1.0581283569335938
5143,-1.0581283569335938
5155,-1.0581283569335938
5161,-1.0581283569335938
5182,-1.0581283569335938
5187,-1.0581283569335938
5194,-1.0581283569335938
5206,-1.0581283569335938
5212,-1.0581283569335938
5233,-1.0581283569335938
5238,-1.0581283569335938
5245,-1.0581283569335938
5257,-1.0581283569335938
5263,-1.0581283569335938
5284,-1.0581283569335938
5289,-1.0581283569335938
5296,-1.0581283569335938
5308,-1.0581283569335938
5314,-1.0581283569335938
5335,-1.0581283569335938
5340,-1.0581283569335938
5347,-1.0581283569335938
5359,-1.0581283569335938
5365,-1.0581283569335938
5386,-1.0581283569335938
5391,-1.0581283569335938
5398,-1.0581283569335938
5410,-1.0581283569335938
5416,-1.0581283569335938
5437,-1.0581283569335938
5442,-1.0581283569335938
5449,-1.0581283569335938
5461,-1.0581283569335938
5467,-1.0581283569335938
5488,-1.0581283569335938
5493,-1.0581283569335938
5500,-1.0581283569335938
5512,-1.0581283569335938
5518,-1.0581283569335938
5539,-1.0581283569335938
5544,-1.0581283569335938
5551,-1.0581283569335938
5563,-1.0581283569335938
5569,-1.0581283569335938
5590,-1.0581283569335938
5595,-1.0581283569335938
5602,-1.0581283569335938
5614,-1.0581283569335938
5620,-1.0581283569335938
5641,-1.0581283569335938
5646,-1.0581283569335938
5653,-1.0581283569335938
5665,-1.0581283569335938
5671,-1.0581283569335938
5692,-1.0581283569335938
5697,-1.0581283569335938
5704,-1.0581283569335938
5716,-1.0581283569335938
5722,-1.0581283569335938
5743,-1.0581283569335938
5748,-1.0581283569335938
5755,-1.0581283569335938
5767,-1.0581283569335938
5773,-1.0581283569335938
5794,-1.0581283569335938
5799,-1.0581283569335938
5806,-1.0581283569335938
5818,-1.0581283569335938
5824,-1.0581283569335938
5845,-1.0581283569335938
5850,-1.0581283569335938
5857,-1.0581283569335938
5869,-1.0581283569335938
5875,-1.0581283569335938
5896,-1.0581283569335938
5901,-1.0581283569335938
5908,-1.0581283569335938
5920,-1.0581283569335938
5926,-1.0581283569335938
5947,-1.0581283569335938
5952,-1.0581283569335938
5959,-1.0581283569335938
5971,-1.0581283569335938
5977,-1.0581283569335938
5998,-1.0581283569335938
6003,-1.0581283569335938
6010,-1.0581283569335938
6022,-1.0581283569335938
6028,-1.0581283569335938
6049,-1.0581283569335938
6054,-1.0581283569335938
6061,-1.0581283569335938
6073,-1.0581283569335938
6079,-1.0581283569335938
6100,-1.0581283569335938
6105,-1.0581283569335938
6112,-1.0581283569335938
6124,-1.0581283569335938
6130,-1.0581283569335938
6151,-1.0581283569335938
6156,-1.0581283569335938
6163,-1.0581283569335938
6175,-1.0581283569335938
6181,-1.0581283569335938
6202,-1.0581283569335938
6207,-1.0581283569335938
6214,-1.0581283569335938
6226,-1.0581283569335938
6232,-1.0581283569335938
6253,-1.0581283569335938
6258,-1.0581283569335938
6265,-1.0581283569335938
6277,-1.0581283569335938
6283,-1.0581283569335938
6304,-1.0581283569335938
6309,-1.0581283569335938
6316,-1.0581283569335938
6328,-1.0581283569335938
6334,-1.0581283569335938
6355,-1.0581283569335938
6360,-1.0581283569335938
6367,-1.0581283569335938
6379,-1.0581283569335938
6385,-1.0581283569335938
6406,-1.0581283569335938
6411,-1.0581283569335938
6418,-1.0581283569335938
6430,-1.0581283569335938
6436,-1.0581283569335938
6457,-1.0581283569335938
6462,-1.0581283569335938
6469,-1.0581283569335938
6481,-1.0581283569335938
6487,-1.0581283569335938
6508,-1.0581283569335938
6513,-1.0581283569335938
6520,-1.0581283569335938
6532,-1.0581283569335938
6538,-1.0581283569335938
6559,-1.0581283569335938
6564,-1.0581283569335938
6571,-1.0581283569335938
6583,-1.0581283569335938
6589,-1.0581283569335938
